FromNode,ToNode,Style
BOOST_TECH_STIRRUPS,TECH_STIRRUPS,dashed
BOOST_TECH_SYNTHETIC_MATERIALS,TECH_SYNTHETIC_MATERIALS,dashed
BOOST_TECH_TELECOMMUNICATIONS,TECH_TELECOMMUNICATIONS,dashed
BOOST_TECH_THE_WHEEL,TECH_THE_WHEEL,dashed
BOOST_TECH_WRITING,TECH_WRITING,dashed
BUILDING_AIRPORT,BOOST_CIVIC_GLOBALIZATION,solid
BUILDING_AIRPORT,BOOST_CIVIC_RAPID_DEPLOYMENT,solid
BUILDING_ARMORY,BOOST_TECH_GUNPOWDER,solid
BUILDING_ARMORY,IMPROVEMENT_AIRSTRIP,solid
BUILDING_BANK,BOOST_TECH_ECONOMICS,solid
BUILDING_BROADCAST_CENTER,BOOST_TECH_TELECOMMUNICATIONS,solid
BUILDING_COLOSSEUM,BOOST_CIVIC_DRAMA_POETRY,solid
BUILDING_FACTORY,BOOST_CIVIC_CLASS_STRUGGLE,solid
BUILDING_MARKET,BOOST_CIVIC_GUILDS,solid
BUILDING_MILITARY_ACADEMY,BOOST_CIVIC_TOTALITARIANISM,solid
BUILDING_MUSEUM_ART,BOOST_CIVIC_OPERA_BALLET,solid
BUILDING_MUSEUM_ARTIFACT,BOOST_CIVIC_NATURAL_HISTORY,solid
BUILDING_MUSEUM_ARTIFACT,UNIT_ARCHAEOLOGIST,solid
BUILDING_POWER_PLANT,BOOST_TECH_ADVANCED_BALLISTICS,solid
BUILDING_RESEARCH_LAB,BOOST_CIVIC_NUCLEAR_PROGRAM,solid
BUILDING_SEWER,BOOST_CIVIC_SUFFRAGE,solid
BUILDING_SHIPYARD,BOOST_TECH_STEAM_POWER,solid
BUILDING_SHRINE,BOOST_CIVIC_THEOLOGY,solid
BUILDING_STOCK_EXCHANGE,BOOST_CIVIC_CAPITALISM,solid
BUILDING_TEMPLE,BOOST_CIVIC_DIVINE_RIGHT,solid
BUILDING_UNIVERSITY,BOOST_TECH_ASTRONOMY,solid
BUILDING_UNIVERSITY,BOOST_TECH_PRINTING,solid
BUILDING_WALLS,BOOST_TECH_ENGINEERING,solid
BUILDING_WATER_MILL,BOOST_TECH_CONSTRUCTION,solid
BUILDING_WORKSHOP,BOOST_TECH_INDUSTRIALIZATION,solid
CIVIC_CIVIL_SERVICE,BOOST_CIVIC_DIPLOMATIC_SERVICE,solid
CIVIC_CONSERVATION,UNIT_NATURALIST,solid
CIVIC_EXPLORATION,BOOST_TECH_CASTLES,solid
CIVIC_FEUDALISM,BOOST_TECH_STIRRUPS,solid
CIVIC_FOREIGN_TRADE,UNIT_TRADER,solid
CIVIC_GLOBALIZATION,BOOST_TECH_ROBOTICS,solid
CIVIC_GUILDS,BOOST_TECH_BANKING,solid
CIVIC_MERCANTILISM,BOOST_TECH_ELECTRICITY,solid
CIVIC_NATIONALISM,BOOST_CIVIC_MOBILIZATION,solid
CIVIC_NATURAL_HISTORY,RESOURCE_ANTIQUITY_SITE,solid
CIVIC_NATURAL_HISTORY,UNIT_ARCHAEOLOGIST,solid
CIVIC_SUFFRAGE,BOOST_TECH_COMPUTERS,solid
CIVIC_THE_ENLIGHTENMENT,BOOST_TECH_SCIENTIFIC_THEORY,solid
DISTRICT_AERODROME,BOOST_TECH_SYNTHETIC_MATERIALS,solid
DISTRICT_AERODROME,UNIT_BIPLANE,solid
DISTRICT_AERODROME,UNIT_FIGHTER,solid
DISTRICT_AQUEDUCT,BOOST_TECH_MILITARY_ENGINEERING,solid
DISTRICT_CAMPUS,BOOST_CIVIC_RECORDED_HISTORY,solid
DISTRICT_CAMPUS,BOOST_TECH_EDUCATION,solid
DISTRICT_COMMERCIAL_HUB,BOOST_CIVIC_MERCANTILISM,solid
DISTRICT_ENCAMPMENT,BOOST_CIVIC_MILITARY_TRAINING,solid
DISTRICT_ENTERTAINMENT_COMPLEX,BOOST_CIVIC_PROFESSIONAL_SPORTS,solid
DISTRICT_HARBOR,BOOST_TECH_CARTOGRAPHY,solid
DISTRICT_NEIGHBORHOOD,BOOST_TECH_SANITATION,solid
DISTRICT_SPACEPORT,BOOST_CIVIC_SPACE_RACE,solid
DISTRICT_THEATER,BOOST_CIVIC_HUMANISM,solid
IMPROVEMENT_AIRSTRIP,BOOST_TECH_COMBINED_ARMS,solid
IMPROVEMENT_FORT,BOOST_TECH_BALLISTICS,solid
IMPROVEMENT_LUMBER_MILL,BOOST_TECH_MASS_PRODUCTION,solid
RESOURCE_ALUMINUM,BOOST_TECH_NANOTECHNOLOGY,solid
RESOURCE_ANTIQUITY_SITE,BOOST_TECH_COMBUSTION,solid
RESOURCE_COAL,UNIT_IRONCLAD,solid
RESOURCE_IRON,BOOST_TECH_IRON_WORKING,solid
RESOURCE_NITER,BOOST_TECH_RIFLING,solid
RESOURCE_OIL,BOOST_TECH_PLASTICS,solid
SETTLE_FIRST_CITY,BOOST_TECH_SAILING,solid
SETTLE_FIRST_CITY,UNIT_SCOUT,solid
SETTLE_FIRST_CITY,UNIT_SLINGER,solid
TECH_ADVANCED_FLIGHT,UNIT_FIGHTER,solid
TECH_ANIMAL_HUSBANDRY,BOOST_TECH_HORSEBACK_RIDING,solid
TECH_ARCHERY,BOOST_TECH_MACHINERY,solid
TECH_ASTRONOMY,BOOST_CIVIC_COLONIALISM,solid
TECH_BALLISTICS,UNIT_FIELD_CANNON,solid
TECH_BRONZE_WORKING,RESOURCE_IRON,solid
TECH_BRONZE_WORKING,UNIT_SPEARMAN,solid
TECH_CARTOGRAPHY,BOOST_CIVIC_EXPLORATION,solid
TECH_COMBINED_ARMS,RESOURCE_URANIUM,solid
TECH_COMBUSTION,BOOST_TECH_PLASTICS,solid
TECH_COMBUSTION,UNIT_TANK,solid
TECH_CONSTRUCTION,BOOST_CIVIC_GAMES_RECREATION,solid
TECH_FLIGHT,IMPROVEMENT_AIRSTRIP,solid
TECH_FLIGHT,UNIT_BIPLANE,solid
TECH_GUNPOWDER,UNIT_MUSKETMAN,solid
TECH_INDUSTRIALIZATION,RESOURCE_COAL,solid
TECH_MACHINERY,IMPROVEMENT_LUMBER_MILL,solid
TECH_MACHINERY,UNIT_CROSSBOWMAN,solid
TECH_METAL_CASTING,UNIT_BOMBARD,solid
TECH_MILITARY_ENGINEERING,IMPROVEMENT_AIRSTRIP,solid
TECH_MILITARY_ENGINEERING,RESOURCE_NITER,solid
TECH_MINING,BOOST_TECH_APPRENTICESHIP,solid
TECH_MINING,BOOST_TECH_IRON_WORKING,solid
TECH_MINING,BOOST_TECH_MASONRY,solid
TECH_MINING,BOOST_TECH_NANOTECHNOLOGY,solid
TECH_MINING,BOOST_TECH_RIFLING,solid
TECH_MINING,BOOST_TECH_THE_WHEEL,solid
TECH_NUCLEAR_FISSION,BOOST_CIVIC_COLD_WAR,solid
TECH_RADIO,BOOST_CIVIC_MASS_MEDIA,solid
TECH_RADIO,RESOURCE_ALUMINUM,solid
TECH_SAILING,BOOST_TECH_CELESTIAL_NAVIGATION,solid
TECH_SAILING,BOOST_TECH_SHIPBUILDING,solid
TECH_SHIPBUILDING,UNIT_QUADRIREME,solid
TECH_SIEGE_TACTICS,IMPROVEMENT_FORT,solid
TECH_STEAM_POWER,UNIT_IRONCLAD,solid
TECH_STEEL,RESOURCE_OIL,solid
TECH_STIRRUPS,UNIT_KNIGHT,solid
TECH_TELECOMMUNICATIONS,BOOST_CIVIC_SOCIAL_MEDIA,solid
TECH_THE_WHEEL,BOOST_TECH_MACHINERY,solid
UNIT_ARCHAEOLOGIST,BOOST_TECH_COMBUSTION,solid
UNIT_BIPLANE,BOOST_TECH_ADVANCED_FLIGHT,solid
UNIT_BOMBARD,BOOST_TECH_SIEGE_TACTICS,solid
UNIT_CROSSBOWMAN,BOOST_TECH_METAL_CASTING,solid
UNIT_FIELD_CANNON,BOOST_CIVIC_SCORCHED_EARTH,solid
UNIT_FIGHTER,BOOST_TECH_GUIDANCE_SYSTEMS,solid
UNIT_IRONCLAD,BOOST_TECH_STEEL,solid
UNIT_KNIGHT,BOOST_TECH_MILITARY_SCIENCE,solid
UNIT_MILITARY_ENGINEER,IMPROVEMENT_AIRSTRIP,solid
UNIT_MILITARY_ENGINEER,IMPROVEMENT_FORT,solid
UNIT_MUSKETMAN,BOOST_TECH_REPLACEABLE_PARTS,solid
UNIT_MUSKETMAN,BOOST_TECH_SQUARE_RIGGING,solid
UNIT_NATURALIST,BOOST_TECH_RADIO,solid
UNIT_QUADRIREME,BOOST_CIVIC_NAVAL_TRADITION,solid
UNIT_SCOUT,BOOST_CIVIC_FOREIGN_TRADE,solid
UNIT_SCOUT,BOOST_CIVIC_POLITICAL_PHILOSOPHY,solid
UNIT_SCOUT,BOOST_TECH_ASTROLOGY,solid
UNIT_SCOUT,BOOST_TECH_WRITING,solid
UNIT_SLINGER,BOOST_TECH_ARCHERY,solid
UNIT_SPEARMAN,BOOST_TECH_MILITARY_TACTICS,solid
UNIT_TANK,BOOST_TECH_COMPOSITES,solid
UNIT_TRADER,BOOST_CIVIC_MEDIEVAL_FAIRES,solid
UNIT_TRADER,BOOST_TECH_CURRENCY,solid
